,Year,Rank,Title,Artist,compound,pos,neg,neu
230,2012,33,We Are Never Ever Getting Back Together,Taylor Swift,0.9939,0.155,0.058,0.787
231,2012,34,As Long As You Love Me,Justin Bieber Featuring Big Sean,0.9996,0.297,0.039,0.664
232,2012,35,Turn Me On,David Guetta Featuring Nicki Minaj,0.9942,0.174,0.064,0.761
233,2012,36,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,0.9972,0.185,0.027,0.788
234,2012,37,Blow Me (One Last Kiss),P!nk,-0.9589,0.144,0.167,0.69
235,2012,38,Good Time,Owl City & Carly Rae Jepsen,0.9971,0.198,0.024,0.778
236,2012,39,Give Your Heart A Break,Demi Lovato,-0.9908,0.074,0.156,0.77
237,2012,41,The One That Got Away,Katy Perry,-0.4767,0.031,0.047,0.922
238,2012,42,Feel So Close,Calvin Harris,0.6597,0.125,0.129,0.746
239,2012,43,Someone Like You,Adele,0.9106,0.2,0.171,0.629
240,2012,44,Scream,Usher,-0.8689,0.134,0.137,0.729
241,2012,45,Rack City,Tyga,-0.9997,0.042,0.383,0.575
242,2012,46,Domino,Jessie J,0.9945,0.194,0.066,0.74
243,2012,47,Gangnam Style,PSY,0.9657,0.075,0.0,0.925
244,2012,48,International Love,Pitbull Featuring Chris Brown,0.9993,0.211,0.019,0.77
245,2012,49,Home,Phillip Phillips,-0.7515,0.086,0.104,0.81
246,2012,50,Without You,David Guetta Featuring Usher,-0.9338,0.043,0.121,0.836
247,2010,1,TiK ToK,Ke$ha,0.9907,0.143,0.051,0.806
248,2010,2,Need You Now,Lady Antebellum,-0.9047,0.04,0.083,0.877
249,2010,3,"Hey, Soul Sister",Train,0.9607,0.11,0.053,0.837
250,2010,4,California Gurls,Katy Perry Featuring Snoop Dogg,0.9945,0.15,0.034,0.816
251,2010,5,OMG,Usher Featuring will.i.am,0.9991,0.178,0.007,0.815
252,2010,6,Airplanes,B.o.B Featuring Hayley Williams,0.9989,0.25,0.043,0.707
253,2010,7,Love The Way You Lie,Eminem Featuring Rihanna,0.981,0.183,0.157,0.66
254,2010,8,Bad Romance,Lady Gaga,0.998,0.369,0.229,0.403
255,2010,9,Dynamite,Taio Cruz,0.9923,0.148,0.009,0.844
256,2010,10,Break Your Heart,Taio Cruz Featuring Ludacris,-0.9513,0.04,0.087,0.874
257,2010,11,Nothin' On You,B.o.B Featuring Bruno Mars,0.7639,0.071,0.065,0.864
258,2010,12,I Like It,Enrique Iglesias Featuring Pitbull,0.9992,0.28,0.07,0.65
259,2010,13,BedRock,Young Money Featuring Lloyd,0.9978,0.15,0.067,0.783
260,2010,14,In My Head,Jason Derulo,0.9814,0.093,0.039,0.867
261,2010,15,Rude Boy,Rihanna,0.9991,0.268,0.079,0.653
262,2010,16,Telephone,Lady Gaga Featuring Beyonce,0.6916,0.01,0.0,0.99
263,2010,17,Teenage Dream,Katy Perry,0.9207,0.104,0.069,0.828
264,2010,18,Just The Way You Are,Bruno Mars,0.997,0.218,0.027,0.755
265,2010,19,Cooler Than Me,Mike Posner,0.9815,0.086,0.039,0.875
266,2010,20,Imma Be,The Black Eyed Peas,0.8591,0.103,0.066,0.831
267,2010,21,Empire State Of Mind,Jay-Z + Alicia Keys,0.9979,0.148,0.052,0.801
268,2010,22,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,0.9975,0.177,0.068,0.754
269,2010,23,Billionaire,Travie McCoy Featuring Bruno Mars,0.9909,0.148,0.059,0.793
270,2010,24,Not Afraid,Eminem,0.9776,0.098,0.064,0.838
271,2010,25,Replay,Iyaz,0.9966,0.174,0.051,0.775
272,2010,26,Sexy Chick,David Guetta Featuring Akon,0.9573,0.186,0.156,0.658
273,2010,27,Breakeven,The Script,0.9468,0.2,0.197,0.603
274,2010,28,Your Love Is My Drug,Ke$ha,0.9997,0.433,0.047,0.52
275,2010,29,I Gotta Feeling,The Black Eyed Peas,0.9866,0.1,0.039,0.861
276,2010,30,Fireflies,Owl City,0.936,0.094,0.071,0.835
277,2010,31,Say Aah,Trey Songz Featuring Fabolous,0.988,0.115,0.021,0.864
278,2010,32,Find Your Love,Drake,0.9989,0.351,0.036,0.613
279,2010,33,Alejandro,Lady Gaga,0.9868,0.128,0.046,0.826
280,2010,34,Ridin' Solo,Jason Derulo,0.9967,0.206,0.071,0.723
281,2010,35,Just A Dream,Nelly,0.9977,0.187,0.044,0.769
282,2010,36,How Low,Ludacris,-0.9987,0.05,0.221,0.729
283,2010,38,Carry Out,Timbaland Featuring Justin Timberlake,0.9946,0.098,0.017,0.885
284,2010,39,Haven't Met You Yet,Michael Buble,0.9982,0.242,0.036,0.722
285,2010,40,Club Can't Handle Me,Flo Rida Featuring David Guetta,0.9791,0.088,0.045,0.867
286,2010,41,Down,Jay Sean Featuring Lil Wayne,0.9805,0.116,0.078,0.806
287,2010,42,Bulletproof,La Roux,0.34,0.073,0.069,0.858
288,2010,43,Whatcha Say,Jason Derulo,0.9933,0.12,0.033,0.847
289,2010,44,Baby,Justin Bieber Featuring Ludacris,0.9996,0.113,0.08,0.806
290,2010,45,Whataya Want From Me,Adam Lambert,0.9686,0.175,0.052,0.773
291,2010,46,Mine,Taylor Swift,0.9753,0.142,0.095,0.763
292,2010,47,Only Girl (In The World),Rihanna,0.9967,0.194,0.02,0.786
293,2010,48,Live Like We're Dying,Kris Allen,0.9783,0.132,0.067,0.801
294,2010,49,Hard,Rihanna Featuring Jeezy,0.9967,0.208,0.124,0.669
295,2010,50,Young Forever,Jay-Z + Mr. Hudson,0.937,0.143,0.114,0.743
296,2008,1,Low,Flo Rida Featuring T-Pain,0.9761,0.059,0.023,0.918
297,2008,2,Bleeding Love,Leona Lewis,0.9966,0.211,0.115,0.674
298,2008,3,No One,Alicia Keys,-0.8857,0.085,0.124,0.791
299,2008,4,Lollipop,Lil Wayne Featuring Static Major,0.9994,0.21,0.028,0.763
300,2008,5,Apologize,Timbaland Featuring OneRepublic,0.9122,0.147,0.083,0.77
301,2008,6,No Air,Jordin Sparks Duet With Chris Brown,-1.0,0.085,0.111,0.804
302,2008,7,Love Song,Sara Bareilles,0.999,0.234,0.028,0.738
303,2008,8,Love In This Club,Usher Featuring Young Jeezy,0.997,0.135,0.021,0.843
304,2008,9,With You,Chris Brown,0.9975,0.135,0.025,0.84
305,2008,10,Forever,Chris Brown,0.9971,0.17,0.012,0.817
306,2008,11,Sexy Can I,Ray J & Yung Berg,0.9988,0.188,0.043,0.769
