Year,Rank,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
2010,71,0.415,0.926,5,-1.304,0,0.374,0.253,0.0,0.256,0.542,158.423
2010,72,0.521,0.702,0,-5.189,1,0.0331,0.189,0.0,0.0962,0.25,127.976
2010,73,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021
2010,74,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139
2010,75,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.992
2010,76,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021
2010,77,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612
2010,78,0.596,0.505,7,-7.892,1,0.0619,0.732,1.97e-05,0.106,0.335,86.097
2010,79,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097
2010,80,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42
2010,81,0.702,0.795,1,-4.764,1,0.0568,0.329,0.0,0.0505,0.836,83.961
2010,82,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975
2010,83,0.626,0.52,9,-8.077,0,0.0892,0.175,0.0,0.13,0.257,77.468
2010,84,0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162
2010,85,0.555,0.713,11,-4.549,1,0.0911,0.0845,0.0,0.712,0.725,79.934
2010,86,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949
2010,87,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028
2010,88,0.476,0.84,2,-2.259,1,0.058,0.11,0.0,0.046,0.648,156.254
2010,89,0.734,0.639,1,-3.241,1,0.0316,0.0348,0.0,0.102,0.836,121.212
2010,90,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052
2010,91,0.525,0.3,5,-8.005,1,0.0286,0.578,8.3e-06,0.116,0.206,80.993
2010,92,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739
2010,93,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715
2010,94,0.588,0.684,1,-5.154,1,0.0288,0.508,0.0,0.141,0.121,85.997
2010,95,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003
2010,96,0.396,0.796,5,-3.253,1,0.0357,0.0597,0.0,0.407,0.362,154.037
2010,97,0.541,0.812,4,-3.764,1,0.0336,0.203,0.0,0.42,0.607,141.056
2010,98,0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013
2010,99,0.496,0.821,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,110.977
2009,1,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048
